ECO_ID,m,p3AET,Tg,Tcc,REALM,BIOME,BIOME_NAME,ECO_NAME,altbiom2023,wet,vegcover,woodycover,treecover,evergreen,altbiome
31010,1.106966078,283.08,22.45018959,20.22478867,AT,10,Montane grasslands,Jos Plateau forest-grassland mosaic,8.2,0,99,0,0,,222
31011,1.768573046,247.74,15.21513271,9.940286636,AT,10,Montane grasslands,Madagascar ericoid thickets,8.2,0,99,0,0,,640
31012,0.94680053,286.95,20.19464493,12.56664944,AT,10,Montane grasslands,Maputaland-Pondoland bushland and thickets,8.2,0,99,0,0,,640
31013,2.203541756,199.69,10.96488762,10.74792767,AT,10,Montane grasslands,Ruwenzori-Virunga montane moorlands,1.3,0,99,0,0,,610
31014,0.963458359,292.37,23.40951157,18.49590874,AT,10,Montane grasslands,South Malawi montane forest-grassland mosaic,8.2,0,99,0,0,,222
31015,1.246863186,239.39,16.37677193,12.53703022,AT,10,Montane grasslands,Southern Rift montane forest-grassland mosaic,8.2,0,99,0,0,,222
31201,0.395716995,137.00,19.25264931,11.34203625,AT,12,Mediterranean scrub,Albany thickets,5.1,0,99,60,0,1,320
31202,0.389761031,138.77,21.26456451,12.78344631,AT,12,Mediterranean scrub,Lowland fynbos and renosterveld,5.1,0,99,60,0,1,320
31203,0.391181722,131.78,19.27912331,10.52191639,AT,12,Mediterranean scrub,Montane fynbos and renosterveld,5.1,0,99,60,0,1,320
31302,0.085788354,63.50,30.8885107,22.82605362,AT,13,Deserts and xeric shrublands,Arabian Peninsula coastal fog desert,7.3,0,25,25,0,,520
31303,0.066390432,91.70,27.28499794,14.37058353,AT,13,Deserts and xeric shrublands,East Saharan montane xeric woodlands,7.3,0,25,25,10,,520
31304,0.030266814,20.70,33.29558182,26.13542938,AT,13,Deserts and xeric shrublands,Eritrean coastal desert,7.3,0,25,25,0,,520
31305,0.118202865,96.20,31.29405212,24.42216873,AT,13,Deserts and xeric shrublands,Ethiopian xeric grasslands and shrublands,7.3,0,60,25,0,,520
31306,0.080790877,76.30,32.03772736,19.52228355,AT,13,Deserts and xeric shrublands,Gulf of Oman desert and semi-desert,7.3,0,25,25,0,,520
31307,0.326316148,203.00,26.31152153,24.42536354,AT,13,Deserts and xeric shrublands,Hobyo grasslands and shrublands,8.1,0,60,25,0,,520
31309,0.236185566,183.50,24.13209152,11.91199005,AT,13,Deserts and xeric shrublands,Kalahari xeric savanna,7.2,0,60,10,0,,520
31310,0.116826139,108.10,25.16517258,19.92863655,AT,13,Deserts and xeric shrublands,Kaokoveld desert,7.3,0,25,25,0,,520
31311,0.419368058,333.34,26.44603539,19.4170742,AT,13,Deserts and xeric shrublands,Madagascar spiny thickets,8.1,0,25,25,0,,510
